[49.145.39.71 | 09-Mar-2023 14:58:12] 2-Super Admin: Add timelog for biometric ID 888888 First Time out : 2023-03-09 11:00
[49.145.39.71 | 09-Mar-2023 14:58:13] 2-Super Admin: Add timelog for biometric ID 888888 Second Time in : 2023-03-09 13:00
[49.145.39.71 | 09-Mar-2023 14:58:14] 2-Super Admin: Add timelog for biometric ID 888888 Second Time out : 2023-03-09 17:00
[49.145.39.71 | 09-Mar-2023 15:23:12] 2-Super Admin: Add timelog for biometric ID 888888 First Time in : 2023-03-08 8:00
[49.145.39.71 | 09-Mar-2023 15:23:13] 2-Super Admin: Add timelog for biometric ID 888888 First Time out : 2023-03-08 17:00
[49.145.39.71 | 09-Mar-2023 15:23:14] 2-Super Admin: Add timelog for biometric ID 888888 Second Time in : 2023-03-08 13:00
[49.145.39.71 | 09-Mar-2023 15:23:15] 2-Super Admin: Add timelog for biometric ID 888888 Second Time out : 2023-03-08 17:00
[49.145.39.71 | 09-Mar-2023 15:25:26] 2-Super Admin: Add overtime for Mandawe John  on 2023-03-07 time 6:00pm - 8:00pm
[49.145.39.71 | 09-Mar-2023 15:25:33] 2-Super Admin: update overtime status to1
[49.145.39.71 | 09-Mar-2023 15:26:06] 2-Super Admin: update overtime status to0
[49.145.39.71 | 09-Mar-2023 15:42:34] 2-Super Admin: Added Employee s s
[49.145.39.71 | 09-Mar-2023 16:09:03] 2-Super Admin: Upload file uploads/0/1-img_avatar2.png
[49.145.39.71 | 09-Mar-2023 16:09:18] 2-Super Admin: Deleted file 
[49.145.33.81 | 10-Mar-2023 07:53:52] 2-Super Admin: Logged in.
[49.145.33.81 | 10-Mar-2023 12:57:20] 2-Super Admin: Logged in.
[49.145.33.81 | 10-Mar-2023 15:23:45] 2-Super Admin: Logged in.
[49.145.33.81 | 10-Mar-2023 15:33:30] 2-Super Admin: Add leave for Helper Demo 2023-03-31 - 1
[49.145.33.81 | 10-Mar-2023 15:39:35] 2-Super Admin: Add timelog for biometric ID 1 for ftimeIn : 2023-03-02 8:00:00
[49.145.33.81 | 10-Mar-2023 15:39:48] 2-Super Admin: Add timelog for biometric ID 1 for ftimeOut : 2023-03-02 17:00:00
[49.145.33.81 | 10-Mar-2023 15:40:02] 2-Super Admin: Add timelog for biometric ID 1 for stimeIn : 2023-03-02 13:00:00
[49.145.33.81 | 10-Mar-2023 15:40:15] 2-Super Admin: Add timelog for biometric ID 1 for stimeOut : 2023-03-02 17:00:00
[49.145.33.81 | 10-Mar-2023 15:40:18] 2-Super Admin: Log 2023-03-02 17:00                                   
                     
                                                 for Adams, Alfie successfully Deleted
[49.145.33.81 | 10-Mar-2023 15:40:44] 2-Super Admin: Add timelog for biometric ID 1 for ftimeOut : 2023-03-02 11:00:00
[49.145.33.81 | 10-Mar-2023 15:41:08] 2-Super Admin: Add timelog for biometric ID 1 for ftimeIn : 2023-03-03 8:00:00
[49.145.33.81 | 10-Mar-2023 15:41:28] 2-Super Admin: Add timelog for biometric ID 1 for stimeOut : 2023-03-03 16:00:00
[49.145.33.81 | 10-Mar-2023 15:41:58] 2-Super Admin: Add timelog for biometric ID 1 for ftimeOut : 2023-03-03 11:00:00
[49.145.33.81 | 10-Mar-2023 15:42:09] 2-Super Admin: Add timelog for biometric ID 1 for stimeIn : 2023-03-03 13:00:00
[49.145.33.81 | 10-Mar-2023 15:43:03] 2-Super Admin: Delete overtime ID3
[49.145.33.81 | 10-Mar-2023 15:43:05] 2-Super Admin: Delete overtime ID2
[49.145.33.81 | 10-Mar-2023 15:44:29] 2-Super Admin: Log  for Adams, Alfie successfully Deleted
[49.145.33.81 | 10-Mar-2023 15:44:36] 2-Super Admin: Log  for Adams, Alfie successfully Deleted
[49.145.33.81 | 10-Mar-2023 15:51:50] 2-Super Admin: Added Payroll alfie Array Success.
[49.145.33.81 | 10-Mar-2023 16:03:43] 2-Super Admin: Delete leave ID 3
[49.145.33.81 | 10-Mar-2023 16:03:47] 2-Super Admin: Delete leave ID 11
[49.145.33.81 | 10-Mar-2023 16:06:36] 2-Super Admin: Add timelog for biometric ID 1 for stimeOut : 2023-03-04 17:00:00
[49.145.33.81 | 10-Mar-2023 16:07:08] 2-Super Admin: Log 2023-03-04 17:00                                   
                     
                                                 for Adams, Alfie successfully Deleted
[49.145.33.81 | 10-Mar-2023 16:12:48] 2-Super Admin: Logged out.
[49.145.33.81 | 10-Mar-2023 16:12:58] 2-Super Admin: Logged in.
[49.145.39.210 | 13-Mar-2023 13:01:22] 2-Super Admin: Logged in.
[49.145.39.210 | 13-Mar-2023 15:48:02] 2-Super Admin: Added Payroll Test1 Array Success.
[49.145.39.210 | 13-Mar-2023 15:48:39] 2-Super Admin: Generate Payslip for Test1
[49.145.39.210 | 13-Mar-2023 15:48:41] 2-Super Admin: Generate Payslip for Test1
[49.145.39.210 | 13-Mar-2023 15:48:55] 2-Super Admin: Generate Distribution for Test1
[49.145.39.210 | 13-Mar-2023 15:48:56] 2-Super Admin: Generate Distribution for Test1
[49.145.37.174 | 14-Mar-2023 08:46:01] 2-Super Admin: Logged in.
[49.145.37.174 | 14-Mar-2023 08:46:32] 2-Super Admin: Logged out.
[49.145.37.174 | 14-Mar-2023 08:58:41] 2-Super Admin: Logged in.
[49.145.37.174 | 14-Mar-2023 09:34:31] 2-Super Admin: Added 13th Month Test1 Array Success.
[49.145.37.174 | 14-Mar-2023 09:36:50] 2-Super Admin: Generate Nth-payslip for Test1
[49.145.37.174 | 14-Mar-2023 09:36:51] 2-Super Admin: Generate Nth-payslip for Test1
[49.145.37.174 | 14-Mar-2023 09:37:05] 2-Super Admin: Generate Nth-distribution for Test1
[49.145.37.174 | 14-Mar-2023 09:37:05] 2-Super Admin: Generate Nth-distribution for Test1
[120.28.225.59 | 14-Mar-2023 15:59:55] 2-Super Admin: Logged in.
[120.28.225.59 | 14-Mar-2023 16:04:20] 2-Super Admin: Added Payroll ggse Array Success.
[120.28.225.59 | 14-Mar-2023 16:05:00] 2-Super Admin: Generate Payslip for ggse
[120.28.225.59 | 14-Mar-2023 16:05:01] 2-Super Admin: Generate Payslip for ggse
[120.28.225.59 | 14-Mar-2023 16:05:01] 2-Super Admin: Generate Distribution for ggse
[120.28.225.59 | 14-Mar-2023 16:05:01] 2-Super Admin: Generate Distribution for ggse
[120.28.225.59 | 14-Mar-2023 16:05:12] 2-Super Admin: Generate Distribution for ggse
[120.28.225.59 | 14-Mar-2023 16:05:12] 2-Super Admin: Generate Distribution for ggse
[120.28.232.67 | 15-Mar-2023 13:53:41] 2-Super Admin: Logged in.
[49.145.46.122 | 15-Mar-2023 14:14:48] 2-Super Admin: Logged in.
[49.145.46.122 | 15-Mar-2023 14:29:25] 2-Super Admin: Logged in.
[49.145.46.122 | 15-Mar-2023 14:44:19] 2-Super Admin: Logged in.
[49.145.46.122 | 15-Mar-2023 15:31:15] 2-Super Admin: Add timelog for biometric ID 1 First Time in : 2023-03-04 8:00
[49.145.46.122 | 15-Mar-2023 15:31:16] 2-Super Admin: Add timelog for biometric ID 1 First Time out : 2023-03-04 11:00
[49.145.46.122 | 15-Mar-2023 15:31:17] 2-Super Admin: Add timelog for biometric ID 1 Second Time in : 2023-03-04 13:00
[49.145.46.122 | 15-Mar-2023 15:31:18] 2-Super Admin: Add timelog for biometric ID 1 Second Time out : 2023-03-04 17:00
[49.145.46.122 | 15-Mar-2023 15:45:26] 2-Super Admin: Add timelog for biometric ID 1 First Time in : 2023-03-13 8:50
