[120.28.227.215 | 23-Jan-2024 15:02:30] 2-Super Admin: Added holiday 0 entitled New Year 2024
[120.28.227.215 | 23-Jan-2024 15:02:36] 2-Super Admin: Updated holiday ID 87 to 0
[49.145.32.165 | 24-Jan-2024 08:06:51] 2-Super Admin: Logged in.
[49.145.200.172 | 25-Jan-2024 08:32:02] 185-Admin User: Logged in.
[120.28.228.216 | 30-Jan-2024 09:48:32] 2-Super Admin: Logged in.
[120.28.228.216 | 30-Jan-2024 10:16:19] 2-Super Admin: Generate Payslip for Payroll Sample
[120.28.228.216 | 30-Jan-2024 10:16:19] 2-Super Admin: Generate Payslip for Payroll Sample
[120.28.228.216 | 30-Jan-2024 10:17:12] 2-Super Admin: Generate Distribution for Payroll Sample
[120.28.228.216 | 30-Jan-2024 10:17:12] 2-Super Admin: Generate Distribution for Payroll Sample
[120.28.228.216 | 30-Jan-2024 10:28:51] 2-Super Admin: Set late amount.
[120.28.228.216 | 30-Jan-2024 10:29:03] 2-Super Admin: Set Leave Actual Rate.
[120.28.228.216 | 30-Jan-2024 10:29:05] 2-Super Admin: Unset Leave Actual Rate.
[120.28.228.216 | 30-Jan-2024 10:30:24] 187-Employee  User: Logged in.
[120.28.228.216 | 30-Jan-2024 10:32:41] 2-Super Admin: Change Company Logo
[120.28.228.216 | 30-Jan-2024 10:33:01] 2-Super Admin: Change Company Logo
[120.28.228.216 | 30-Jan-2024 10:38:54] 187-Employee  User: Add timelog for biometric ID 333333333 Time In : 2024-01-30 10:38
[120.28.228.216 | 30-Jan-2024 10:39:00] 187-Employee  User: Add timelog for biometric ID 333333333 Time Out : 2024-01-30 10:39
[120.28.228.216 | 30-Jan-2024 10:39:05] 187-Employee  User: Add timelog for biometric ID 333333333 Time In : 2024-01-30 10:39
[120.28.228.216 | 30-Jan-2024 10:39:10] 187-Employee  User: Add timelog for biometric ID 333333333 Time Out : 2024-01-30 10:39
[120.28.228.216 | 30-Jan-2024 10:41:00] 2-Super Admin: Add timelog for biometric ID 333333333 First Time in : 2024-01-01 8:00
[120.28.228.216 | 30-Jan-2024 10:41:01] 2-Super Admin: Add timelog for biometric ID 333333333 First Time out : 2024-01-01 12:00
[120.28.228.216 | 30-Jan-2024 10:41:02] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time in : 2024-01-01 13:00
[120.28.228.216 | 30-Jan-2024 10:41:03] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time out : 2024-01-01 17:00
[120.28.228.216 | 30-Jan-2024 10:41:33] 2-Super Admin: Add timelog for biometric ID 333333333 First Time in : 2024-01-02 8:00
[120.28.228.216 | 30-Jan-2024 10:41:34] 2-Super Admin: Add timelog for biometric ID 333333333 First Time out : 2024-01-02 12:00
[120.28.228.216 | 30-Jan-2024 10:41:35] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time in : 2024-01-02 13:00
[120.28.228.216 | 30-Jan-2024 10:41:36] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time out : 2024-01-02 17:00
[120.28.228.216 | 30-Jan-2024 10:43:15] 2-Super Admin: Add timelog for biometric ID 333333333 First Time in : 2024-01-03 8:00
[120.28.228.216 | 30-Jan-2024 10:43:16] 2-Super Admin: Add timelog for biometric ID 333333333 First Time out : 2024-01-03 12:00
[120.28.228.216 | 30-Jan-2024 10:43:17] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time in : 2024-01-03 13:00
[120.28.228.216 | 30-Jan-2024 10:43:18] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time out : 2024-01-03 17:00
[120.28.228.216 | 30-Jan-2024 10:43:30] 2-Super Admin: Add timelog for biometric ID 333333333 First Time in : 2024-01-04 8:00
[120.28.228.216 | 30-Jan-2024 10:43:31] 2-Super Admin: Add timelog for biometric ID 333333333 First Time out : 2024-01-04 12:00
[120.28.228.216 | 30-Jan-2024 10:43:32] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time in : 2024-01-04 13:00
[120.28.228.216 | 30-Jan-2024 10:43:33] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time out : 2024-01-04 17:00
[120.28.228.216 | 30-Jan-2024 10:43:39] 2-Super Admin: Add timelog for biometric ID 333333333 First Time in : 2024-01-05 8:00
[120.28.228.216 | 30-Jan-2024 10:43:40] 2-Super Admin: Add timelog for biometric ID 333333333 First Time out : 2024-01-05 12:00
[120.28.228.216 | 30-Jan-2024 10:43:41] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time in : 2024-01-05 13:00
[120.28.228.216 | 30-Jan-2024 10:43:42] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time out : 2024-01-05 17:00
[120.28.228.216 | 30-Jan-2024 10:43:47] 2-Super Admin: Add timelog for biometric ID 333333333 First Time in : 2024-01-08 8:00
[120.28.228.216 | 30-Jan-2024 10:43:48] 2-Super Admin: Add timelog for biometric ID 333333333 First Time out : 2024-01-08 12:00
[120.28.228.216 | 30-Jan-2024 10:43:49] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time in : 2024-01-08 13:00
[120.28.228.216 | 30-Jan-2024 10:43:50] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time out : 2024-01-08 17:00
[120.28.228.216 | 30-Jan-2024 10:43:55] 2-Super Admin: Add timelog for biometric ID 333333333 First Time in : 2024-01-09 8:00
[120.28.228.216 | 30-Jan-2024 10:43:56] 2-Super Admin: Add timelog for biometric ID 333333333 First Time out : 2024-01-09 12:00
[120.28.228.216 | 30-Jan-2024 10:43:57] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time in : 2024-01-09 13:00
[120.28.228.216 | 30-Jan-2024 10:43:58] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time out : 2024-01-09 17:00
[120.28.228.216 | 30-Jan-2024 10:44:04] 2-Super Admin: Add timelog for biometric ID 333333333 First Time in : 2024-01-10 8:00
[120.28.228.216 | 30-Jan-2024 10:44:05] 2-Super Admin: Add timelog for biometric ID 333333333 First Time out : 2024-01-10 12:00
[120.28.228.216 | 30-Jan-2024 10:44:06] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time in : 2024-01-10 13:00
[120.28.228.216 | 30-Jan-2024 10:44:07] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time out : 2024-01-10 17:00
[120.28.228.216 | 30-Jan-2024 10:44:14] 2-Super Admin: Add timelog for biometric ID 333333333 First Time in : 2024-01-11 8:00
[120.28.228.216 | 30-Jan-2024 10:44:15] 2-Super Admin: Add timelog for biometric ID 333333333 First Time out : 2024-01-11 12:00
[120.28.228.216 | 30-Jan-2024 10:44:16] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time in : 2024-01-11 13:00
[120.28.228.216 | 30-Jan-2024 10:44:17] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time out : 2024-01-11 17:00
[120.28.228.216 | 30-Jan-2024 10:44:27] 2-Super Admin: Add timelog for biometric ID 333333333 First Time in : 2024-01-12 8:00
[120.28.228.216 | 30-Jan-2024 10:44:28] 2-Super Admin: Add timelog for biometric ID 333333333 First Time out : 2024-01-12 12:00
[120.28.228.216 | 30-Jan-2024 10:44:29] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time in : 2024-01-12 13:00
[120.28.228.216 | 30-Jan-2024 10:44:30] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time out : 2024-01-12 17:00
[120.28.228.216 | 30-Jan-2024 10:44:38] 2-Super Admin: Add timelog for biometric ID 333333333 First Time in : 2024-01-15 8:00
[120.28.228.216 | 30-Jan-2024 10:44:39] 2-Super Admin: Add timelog for biometric ID 333333333 First Time out : 2024-01-15 12:00
[120.28.228.216 | 30-Jan-2024 10:44:40] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time in : 2024-01-15 13:00
[120.28.228.216 | 30-Jan-2024 10:44:41] 2-Super Admin: Add timelog for biometric ID 333333333 Second Time out : 2024-01-15 17:00
[120.28.228.216 | 30-Jan-2024 10:47:55] 2-Super Admin: Added Payroll test-payroll-2024 Array Success.
[120.28.228.216 | 30-Jan-2024 10:48:21] 2-Super Admin: Generate Payslip for test-payroll-2024
[120.28.228.216 | 30-Jan-2024 10:48:21] 2-Super Admin: Generate Payslip for test-payroll-2024
[120.28.228.216 | 30-Jan-2024 10:48:31] 2-Super Admin: Generate Distribution for test-payroll-2024
[120.28.228.216 | 30-Jan-2024 10:48:31] 2-Super Admin: Generate Distribution for test-payroll-2024
[120.28.228.216 | 30-Jan-2024 10:50:07] 2-Super Admin: Generate Distribution for test-payroll-2024
[120.28.228.216 | 30-Jan-2024 10:50:07] 2-Super Admin: Generate Distribution for test-payroll-2024
[120.28.228.216 | 30-Jan-2024 13:49:50] 2-Super Admin: Logged in.
[120.28.228.216 | 30-Jan-2024 13:50:35] 187-Employee  User: Logged in.
[122.55.76.9 | 30-Jan-2024 14:02:32] 186-HR User: Logged in.
[58.71.120.250 | 30-Jan-2024 14:03:46] 186-HR User: Logged out.
