[120.28.185.113 | 25-Jul-2023 10:40:48] 20-daisy jane: Generate Payslip for PAYROLL 2
[120.28.185.113 | 25-Jul-2023 10:40:49] 20-daisy jane: Generate Payslip for PAYROLL 2
[120.28.185.113 | 25-Jul-2023 10:40:50] 20-daisy jane: Generate Distribution for PAYROLL 2
[120.28.185.113 | 25-Jul-2023 10:40:50] 20-daisy jane: Generate Distribution for PAYROLL 2
[49.145.41.222 | 25-Jul-2023 15:25:29] 2-Admin User: Logged in.
[49.145.41.222 | 25-Jul-2023 15:37:32] 2-Admin User: Generate Payslip for test-payroll-1
[49.145.41.222 | 25-Jul-2023 15:37:33] 2-Admin User: Generate Payslip for test-payroll-1
[49.145.41.222 | 25-Jul-2023 15:37:43] 2-Admin User: Generate Distribution for test-payroll-1
[49.145.41.222 | 25-Jul-2023 15:37:43] 2-Admin User: Generate Distribution for test-payroll-1
[49.145.41.222 | 25-Jul-2023 15:42:41] 2-Admin User: Generate Distribution for test-payroll-1
[49.145.41.222 | 25-Jul-2023 15:42:42] 2-Admin User: Generate Distribution for test-payroll-1
[49.145.41.222 | 25-Jul-2023 15:43:44] 2-Admin User: Generate Distribution for test-payroll-1
[49.145.41.222 | 25-Jul-2023 15:43:45] 2-Admin User: Generate Distribution for test-payroll-1
[49.145.41.222 | 25-Jul-2023 15:44:47] 2-Admin User: Generate Distribution for test-payroll-1
[49.145.41.222 | 25-Jul-2023 15:44:47] 2-Admin User: Generate Distribution for test-payroll-1
[120.28.232.215 | 26-Jul-2023 08:56:43] 20-daisy jane: Logged in.
[110.54.231.121 | 27-Jul-2023 12:05:12] 2-Admin User: Logged in.
[110.54.231.121 | 27-Jul-2023 12:07:12] 2-Admin User: Create Schedule AM Nurse SHift 
[110.54.231.121 | 27-Jul-2023 12:07:25] 2-Admin User: Update Schedule AM SHIFT NURSES
[110.54.231.121 | 27-Jul-2023 12:09:09] 2-Admin User: Update Schedule ID 432 to 116
[110.54.231.121 | 27-Jul-2023 12:10:12] 2-Admin User: Add timelog for biometric ID 897645 First Time in : 2023-07-27 6:13
[110.54.231.121 | 27-Jul-2023 12:10:13] 2-Admin User: Add timelog for biometric ID 897645 Second Time out : 2023-07-27 14:07
[110.54.231.121 | 27-Jul-2023 12:10:49] 2-Admin User: Update Schedule ID 263 to 116
[110.54.231.121 | 27-Jul-2023 12:11:14] 2-Admin User: Add timelog for biometric ID 4002 for ftimeIn : 2023-07-27 6:13:00
[110.54.231.121 | 27-Jul-2023 12:11:31] 2-Admin User: Add timelog for biometric ID 4002 for stimeOut : 2023-07-27 14:30:00
[110.54.231.121 | 27-Jul-2023 12:14:52] 2-Admin User: Added/Updated User Schedules
[110.54.231.121 | 27-Jul-2023 12:15:27] 2-Admin User: Add timelog for biometric ID 23 for ftimeIn : 2023-07-27 6:14:00
[110.54.231.121 | 27-Jul-2023 12:15:50] 2-Admin User: Add timelog for biometric ID 23 for stimeOut : 2023-07-27 14:02:00
[110.54.231.121 | 27-Jul-2023 12:25:26] 2-Admin User: Add timelog for biometric ID 111111 for ftimeIn : 2023-07-27 6:00:00
[110.54.231.121 | 27-Jul-2023 12:25:44] 2-Admin User: Add timelog for biometric ID 111111 for stimeOut : 2023-07-27 2:00:00
[110.54.231.121 | 27-Jul-2023 12:27:17] 2-Admin User: Added/Updated User Schedules
[110.54.231.121 | 27-Jul-2023 12:27:39] 2-Admin User: Add timelog for biometric ID 999 for ftimeIn : 2023-07-27 5:00:00
[110.54.231.121 | 27-Jul-2023 12:28:07] 2-Admin User: Add timelog for biometric ID 999 for stimeOut : 2023-07-27 14:30:00
[110.54.231.121 | 27-Jul-2023 12:28:52] 2-Admin User: Add timelog for biometric ID 786787 for ftimeIn : 2023-07-27 6:30:00
[110.54.231.121 | 27-Jul-2023 12:29:16] 2-Admin User: Add timelog for biometric ID 786787 for stimeOut : 2023-07-27 13:30:00
[110.54.231.121 | 27-Jul-2023 12:29:58] 2-Admin User: Add timelog for biometric ID 4001 for ftimeIn : 2023-07-27 7:00:00
[110.54.231.121 | 27-Jul-2023 12:30:16] 2-Admin User: Add timelog for biometric ID 4001 for stimeOut : 2023-07-27 15:00:00
[110.54.231.121 | 27-Jul-2023 13:28:50] 2-Admin User: Create Schedule AM ADDL ADMIN
[110.54.231.121 | 27-Jul-2023 13:29:02] 2-Admin User: Update Schedule AM SHIFT NURSES
[110.54.231.121 | 27-Jul-2023 13:29:43] 2-Admin User: Added/Updated User Schedules
[110.54.231.121 | 27-Jul-2023 13:30:27] 2-Admin User: Add timelog for biometric ID 4001 for ftimeIn : 2023-07-26 7:23:00
[110.54.231.121 | 27-Jul-2023 13:33:46] 2-Admin User: Add timelog for biometric ID 151515 for ftimeIn : 2023-07-26 7:30:00
[110.54.231.121 | 27-Jul-2023 13:34:00] 2-Admin User: Add timelog for biometric ID 151515 for stimeOut : 2023-07-26 17:30:00
[120.28.237.63 | 27-Jul-2023 15:02:29] 2-Admin User: Logged in.
[110.54.231.121 | 27-Jul-2023 15:22:09] 2-Admin User: Add timelog for biometric ID 897645 for ftimeIn : 2023-07-26 6:00:00
[110.54.231.121 | 27-Jul-2023 15:24:45] 2-Admin User: Add timelog for biometric ID 123 for ftimeIn : 2023-07-26 4:30:00
[110.54.231.121 | 27-Jul-2023 15:25:07] 2-Admin User: Add timelog for biometric ID 123 for stimeOut : 2023-07-26 15:30:00
